Twitter
nclys
agniyeah
widhidana
odayski
clintanatasa
dewideme
dronld
Fikhanza
fuzzie182
HafsahAcah
iamjesslee
Mondododo
myuts
hellonadaa
nathaliezileta
gascord
VieAmnessya
NurulNuha
p49it
ragilds
rangga_rp
riswantel
prittakp
diihartantoo
ipimaripi
thaliasw
theodoraluna
toramichan
valentmustamin
valianda
olerinka
windyokt
dittay
adehermawan_com
adit_dK
afdal_ritzky
katasiagoes
alpialip
annisaparamita
Bagasmdputra
ndon_halim
collinkh
domidimmm
davinrusady
psychologeast
puputrossi
None
jsl95
jojoswift94
missy_k4t
lilianemelissa
mariaangie
MartinOenang
mayaasmara_
vinbiy
akbrmalik
itikecil
mmmutia
naafifathar
belasfira
nadirairdiana
nadyapermadi
nrswr
arumrum
Rendy Aries Fajrin
mantovanirian
RIC_CLICK
rifanabillahn
rindangnya
udenrio
rizkyoktfn
srizkikesuma
valleriexu
derickozza
hanindyo
swastidini
siwulan
alpialip
agnesgita
agriepratama
agustheobama
old_razor
alishaputri28
ayuituayu
chendypw
ichaancut
ochid_ochd
trimeric
febbytrisakti
fitms89
degadisya
_gladhys
mhzhafizh
ekirbw
helmitanthawi
sandityahardaya
ingridinmono
jasminnalya
fk_edwin
juliusandrew
kafinnoeman
kevinnndm
larascil
_risyad__
mutiarazka
m_saftr
nabillaarizkyy
nadxmine
nadianzani
Natalia2412
monasbrothers
prunamasari
qnthr
rechellerumawas
harrifki
sandra_krl
sitimusadad
crsntasya
titianutami
giselaviolin
hzboy
name
bonni_pc
pepeishaam
santialaysius
natalixia
qronoz
misslailai
tygerd
tika_anindya
anienmd
lalitia
slmnsalmann
vnfzn
qriouslad
idznie
rumahkopi
jazmanyun
donnypep
kazecul
arraziee
alderina
"['lalitia', 'tedxjakarta']"
"['natalixia', 'tedxjakarta']"
"['arief_aziz', 'tedxjakarta']"
['qronoz']
"['santialaysius', 'tedxjakarta']"
"['qronoz', 'tedxjakarta']"
myuts
dionmohamad
psabd
"['alderina', 'tedxjakarta']"
"['tika_anindya', 'tedxjakarta']"
"['idznie', 'tedxjakarta']"
"['misslailai', 'tedxjakarta']"
"['kazecul', 'tedxjakarta']"
['lalitia']
"['tedxjakarta', 'atamerica']"
"['xl123', 'tedxjakarta']"
"['atamerica', 'tedxjakarta']"
['atamerica']
"['holycow_radal', 'tedxjakarta']"
atamerica
edwardsuhadi
"['tedxjakarta', 'salihara']"
adipanuntun
jongchandra
renecc
bettisa
aniesbaswedan
aniesbaswedan
sanggar_roda
DidikNT
ewajoanna
jubing_guitar
muhammadnoer
musdahmulia
zainialif
pinneng
57_kustik
prasadja
TheOproject
GWirjawan
noorhudaismail
mailbykite
pramaditia
yohanessurya1
andrianishak
naynadine
pinot
rahung
ronngan
sidrotun_naim
alexsihar
lianggono
RaziThalib
stanleywidianto
wahyudhyatmika
anindochka
heydian
fayesimanjuntak
firlysavitri
veceha
robbizidna
ainurhidayat
purikp_
hilmarfarid
YJampil
journalin
grace_nat
widharmika
jejakfadly
pandorateater
aik_arif
banalestetik
Landesa_Global
wiiiiza
qnoy2k
tedxtelkomu
drivebooksjkt
"['tedxjakarta', 'atamerica']"
"['lalitia', 'tedxjakarta']"
tedxunpad
tedxitb
"['natalixia', 'tedxjakarta']"
['qronoz']
['tedxjkt']
"['renecc', 'tedxjakarta']"
"['qronoz', 'tedxjakarta']"
"['arief_aziz', 'tedxjakarta']"
['pinneng']
"['tedxjakarta', 'atamerica']"
tedxubud
holycow_id
tedxtelkomu
tedxjakarta
tedxui
['tedxjakarta']
[]
['tedxjakarta']
